Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
TRULY Hard Seltzer Berry Variety Pack,20.19,4.7,138,Hard Seltzer,"Massachusetts, United States",Variety Pack,5%,,"Berry, Citrus, Fruity, Light, Bright","Cheese - Fresh & Soft, Chicken, Salads & Greens","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",40-45° F,100,2,"Gluten Reduced, Gluten-Free"
Guinness Draught,11.29,4.8,150,Dry Stout,Ireland,,4.2%,45,"Balanced, Chocolate, Creamy, Dry, Velvety","Dessert - Chocolate & Coffee, Nuts, Shellfish",Pint Glass,45-50° F,126,,
Voodoo Ranger Imperial IPA,12.99,4.7,77,Imperial / Double IPA,"Colorado, United States",Craft,9%,70,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,250,17,Kosher
White Claw Seltzer Surge Variety Pack,20.99,4.7,17,Variety Pack Beer,"Illinois, United States",Variety Pack,8%,,,,,,,,Gluten-Free
Yuengling Traditional Lager,15.6,4.8,91,Amber / Vienna Lager,"Pennsylvania, United States",Craft,4.5%,16,"Malty, Dry, Bready","Lamb, Pork","Pint Glass, Pilsner Glass",45-50° F,140,,
Coors Banquet Lager Beer,8.41,4.7,79,American-Style Lager,"Colorado, United States",,5%,15,"Biscuit, Bready, Crisp","Beef, Cured Meats, Fish - Meaty & Oily",Pint Glass,35-40° F,,,
Corona Premier Mexican Lager Light Beer,19.79,4.7,182,Light Lager,Mexico,,4%,7,,,Pint Glass,35-40° F,90,2.6,
Sierra Nevada Hazy Little Thing IPA,12.49,4.7,63,IPA,"California, United States","Craft, Independent Craft Brewer",6.7%,35,"Bold, Bright, Fresh, Fruity, Hoppy, Tropical, Tropical Fruit","Beef, Cheese - Hard Aged, Cured Meats, Fruit - Citrus, Fruit - Dried, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Miller High Life American Lager Beer,11.49,4.7,98,Lager,United States,,4.6%,7,"Biscuit, Crisp, Light","Beef, Chicken, Salads & Greens",Pint Glass,35-40° F,141,,
Bud Light,17.99,4.7,423,Light Lager,"Missouri, United States",,4.2%,10,"Crisp, Dry, Light, Smooth","Nuts, Cured Meats",Pint Glass,35-40° F,110,6.6,
Flying Embers Variety Pack Hard Kombucha,26.49,4.4,4,Hard Kombucha,"California, United States",Variety Pack,6.9%,,"Bright, Citrus, Crisp, Fresh",,,,,,Organic
Flying Embers Pineapple Chili Hard Kombucha,4.99,4.4,4,Hard Kombucha,United States,,6.8%,,"Fresh, Pineapple, Spicy, Tropical Fruit",,,,130,0.0001,Organic
Corona Light Mexican Lager Light Beer,24.99,4.7,304,Light Lager,Mexico,,4%,18,"Dry, Grainy, Light, Smooth","Chicken, Nuts",Pint Glass,35-40° F,99,4.8,Gluten Reduced
"Angry Orchard Crisp Apple Hard Cider, Spiked",11.99,4.7,228,Cider,"New York, United States",,5%,10,"Sweet, Apple, Fruity, Bright","Cheese - Blue, Pork","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten-Free, Kosher"
Pacifico Clara Lager Mexican Beer,19.98,4.7,142,Pilsner,Mexico,,4.4%,18,"Citrus, Crisp, Dry, Grainy",,Pint Glass,40-45° F,143,13.6,
Flying Embers Mango Coconut Hard Kombucha,24.99,,,Hard Kombucha,"California, United States",,7%,,"Coconut, Fruity, Tropical, Tropical Fruit",,,,130,0,Organic
Flying Embers Black Cherry Hard Kombucha,4.99,4.3,2,Hard Kombucha,"California, United States",,7.2%,,"Cherry, Citrus, Fruity, Tart",,,,135,0.0001,Organic
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Flying Embers Watermelon Hard Kombucha,15.99,4.9,2,Hard Kombucha,United States,Craft,4.5%,,"Bright, Salty, Watermelon",,,,85,0,"Gluten-Free, Organic"
Lagunitas IPA,11.99,4.7,92,IPA,"California, United States",Craft,6.2%,52,"Bitter, Citrus, Floral, Hoppy","Cured Meats, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
"Twisted Tea Original, Hard Iced Tea",10.79,4.7,61,Hard Iced Tea,"Ohio, United States",,5%,,Sweet,"Beef, Chicken, Pork",Mason Jar,40-45° F,,,
TRULY Hard Seltzer Lemonade Variety Pack,20.46,4.7,118,Hard Seltzer,"Massachusetts, United States",Variety Pack,5%,,"Balanced, Bright, Crisp, Fruity, Pineapple","Chicken, Fruit - Citrus, Salads & Greens",Snifter/Goblet/Chalice,40-45° F,100,2,"Gluten Reduced, Gluten-Free"
Pabst Blue Ribbon,11.99,4.7,93,American-Style Lager,"California, United States",,4.7%,10,"Dry, Light, Grainy, Malty","Nuts, Chicken",Pint Glass,35-40° F,,,
Peroni Nastro Azzurro Import Lager Beer,19.49,4.8,45,Dortmunder / Export Lager,Italy,,5.1%,,"Dry, Grainy, Light",,Pint Glass,45-50° F,,,
White Claw Mango Hard Seltzer,11.99,4.7,55,Hard Seltzer,"Illinois, United States",,5%,,,,"Pint Glass, Mason Jar",40-45° F,100,2,Gluten Reduced
"Lawson's Finest Liquids, Sip of Sunshine, IPA",17.99,4.8,30,New England / Hazy IPA,"Vermont, United States",Craft,8%,65,"Hoppy, Citrus, Tropical Fruit, Smooth","Salads & Greens, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Dos Equis Lager,18.99,4.7,84,American-Style Lager,Mexico,,4.2%,10,"Balanced, Biscuit, Crisp, Fresh, Smooth","Beef, Nuts",Pint Glass,35-40° F,131,11,
Busch Light,22.29,4.6,47,Light Lager,"Missouri, United States",,4.1%,,"Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,95,3.2,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
"Twisted Tea Variety Party Pack, Hard Iced Tea",17.99,4.7,19,Hard Iced Tea,"Ohio, United States",Variety Pack,5%,,"Peach, Smooth, Crisp","Beef, Chicken, Pork",Mason Jar,40-45° F,,,
Voodoo Ranger Hoppy Variety Pack,20.99,4.8,18,Imperial / Double IPA,"Colorado, United States","Craft, Variety Pack",7%,,"Bitter, Bold, Hoppy","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cured Meats, Pasta, Pork, Root Vegetables",Snifter/Goblet/Chalice,45-50° F,,,
TRULY Hard Seltzer Tropical Variety Pack,19.99,4.7,57,Hard Seltzer,"Massachusetts, United States",Variety Pack,5%,,"Fresh, Fruity, Tropical, Tropical Fruit, Light","Chicken, Fruit - Citrus, Salads & Greens",Snifter/Goblet/Chalice,40-45° F,100,2,"Gluten Reduced, Gluten-Free"
Heineken Non-Alcoholic 0.0,12.99,4.7,64,Non-Alcoholic Beer,Netherlands,Non-Alcoholic,0%,0,,,Pint Glass,40-45° F,,,Gluten Reduced
TRULY Hard Seltzer Punch Variety Pack,20.46,4.7,34,Hard Seltzer,"Massachusetts, United States",Variety Pack,5%,,"Berry, Citrus, Fruity, Tropical Fruit, Red Fruit, Crisp","Beef, Chicken, Salads & Greens",Snifter/Goblet/Chalice,40-45° F,100,,"Gluten Reduced, Gluten-Free"
Bell's Two Hearted Ale IPA,22.99,4.8,44,IPA,"Michigan, United States",Craft,7%,60,"Bitter, Citrus, Fresh, Hoppy, Pine","Beef, Nuts, Chicken",Snifter/Goblet/Chalice,50-55° F,212,,
"Founders All Day IPA, Session IPA Beer",24.47,4.7,57,Session IPA,"Michigan, United States",Craft,4.7%,42,"Dry, Floral, Grapefruit, Hoppy, Light, Tropical, Tropical Fruit","Cheese - Fresh & Soft, Chicken, Dessert - Fruit, Fish - Meaty & Oily, Fruit - Citrus, Salads & Greens, Shellfish, Tomatoes",Pint Glass,45-50° F,140,10.6,
Natural Ice,10.09,4.7,46,Lager,"Missouri, United States",,5.9%,5,"Light, Dry",Nuts,Pint Glass,35-40° F,,,
Guinness Extra Stout,11.49,4.8,64,Dry Stout,Ireland,,5.6%,,"Chocolate, Coffee, Dry, Tobacco","Pork, Dessert - Chocolate & Coffee",Pint Glass,45-50° F,,,
Sierra Nevada Pale Ale,11.69,4.7,40,American Pale Ale,"California, United States","Craft, Independent Craft Brewer",5.5%,38,"Balanced, Bold, Hoppy, Malty, Pine, Smooth, Spicy","Beef, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Chicken, Cured Meats, Nuts, Pork, Turkey",Pint Glass,45-50° F,,,
Sapporo Premium,44.0,4.7,45,Lager,Canada,,4.9%,18,"Dry, Light","Beef, Chicken, Nuts","Pint Glass, Pilsner Glass",35-40° F,,,
Flying Embers Bubbly Brut Nature Hard Kombucha,17.99,,,Hard Kombucha,"California, United States",,6.9%,,,,,,,,
Flying Embers Wild Berry Hard Kombucha,15.39,3.6,1,Hard Kombucha,United States,Craft,4.5%,,"Berry, Bright, Fresh, Fruity",,,,85,0,"Gluten-Free, Organic"
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Bud Light Platinum,16.98,4.7,58,American-Style Lager,"Missouri, United States",,6%,12,"Dry, Grainy, Light","Nuts, Chicken",Pint Glass,35-40° F,137,4.4,
Smirnoff Ice Original,11.49,4.7,152,Malt Liquor,United States,,4.5%,0,"Flavored, Acidic, Sweet","Nuts, Chicken",Pint Glass,35-40° F,,,
Bud ICE,1.99,4.7,29,Light Lager,"Missouri, United States",,10%,15,"Dry, Light, Grainy","Nuts, Chicken",Pint Glass,35-40° F,,,
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Avery Hazyish IPA,11.99,4.8,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,30,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Bud Light Lime,16.49,4.8,52,Light Lager,"Missouri, United States",,4.2%,8,"Dry, Flavored, Light","Salads & Greens, Fish - White",Pint Glass,35-40° F,116,8,Gluten Reduced
TRULY Hard Seltzer Margarita Style Variety Mix Pack,20.69,4.7,19,Hard Seltzer,"Massachusetts, United States",Variety Pack,5.3%,,"Citrus, Crisp, Sour, Sweet, Watermelon, Fruity, Light","Beef, Salads & Greens, Chicken",Snifter/Goblet/Chalice,40-45° F,110,,Gluten-Free
Natural Light,20.99,4.7,58,Light Lager,"Missouri, United States",,4.2%,10,"Bready, Dry, Grainy, Light",Nuts,Pint Glass,35-40° F,95,3.2,
"Twisted Tea Half & Half, Hard Iced Tea",2.12,4.7,29,Hard Iced Tea,"Ohio, United States",,5%,,"Fruity, Sweet, Syrupy","Beef, Chicken, Pork, Shellfish",Mason Jar,40-45° F,,,
Kona Big Wave Golden Ale,11.19,4.7,44,Golden / Blonde Ale,"Hawaii, United States",Craft,4.4%,21,"Honey, Malty, Sweet","Nuts, Chicken",Pint Glass,45-50° F,,,
Cigar City Brewing Jai Alai IPA,12.86,4.8,41,IPA,"Florida, United States",Craft,7.5%,70,"Tropical Fruit, Citrus, Bitter","Salads & Greens, Chicken","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Samuel Adams Seasonal Beer,19.99,4.6,76,Seasonal Beer,"Massachusetts, United States","Craft, Seasonal",5.3%,,"Bright, Citrus, Crisp, Smooth, Light","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Chicken, Cured Meats, Dessert - Fruit, Fish - White, Fruit - Citrus, Fruit - Sweet, Pasta, Pork, Salads & Greens, Shellfish, Turkey",Pint Glass,,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
White Claw Ruby Grapefruit Hard Seltzer,11.79,4.7,26,Hard Seltzer,"Illinois, United States",,5%,,"Citrus, Dry, Flavored, Grapefruit","Salads & Greens, Nuts","Pint Glass, Mason Jar",40-45° F,100,2,Gluten Reduced
Vizzy Hard Seltzer Tropical Variety Pack,19.98,4.7,46,Hard Seltzer,"Tennessee, United States",Variety Pack,5%,,"Berry, Fresh, Fruity, Melon, Pineapple",,Snifter/Goblet/Chalice,40-45° F,100,,Gluten-Free
Leinenkugel's Summer Shandy Craft Beer,10.99,4.7,38,Seasonal Beer,"Wisconsin, United States","Craft, Seasonal",4.2%,,"Citrus, Light, Sweet","Chicken, Fruit - Citrus, Salads & Greens","Pilsner Glass, Pint Glass",40-45° F,136,12.5,Kosher
Elysian Space Dust IPA,14.0,4.8,59,IPA,"Washington, United States",Craft,8.2%,62,"Citrus, Hoppy, Tropical Fruit","Fish - White, Fruit - Sweet","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Samuel Adams Boston Lager Beer,2.29,4.7,35,Amber / Vienna Lager,"Massachusetts, United States",Craft,5%,30,"Biscuit, Caramel, Honey, Malty","Cheese - Creamy & Bloomy, Nuts","Pint Glass, Pilsner Glass",45-50° F,,,
New Belgium Fat Tire Ale,3.99,4.8,60,Ale,"Colorado, United States","Craft, Sustainable",5.2%,15,"Balanced, Bright, Light, Smooth","Cheese - Hard Aged, Dessert - Vanilla & Caramel, Nuts, Pasta, Pork, Root Vegetables",Snifter/Goblet/Chalice,45-50° F,160,9,Kosher
Athletic Brewing Run Wild IPA,11.99,4.7,30,Non-Alcoholic Beer,"Connecticut, United States","Craft, Independent Craft Brewer, Non-Alcoholic",0.5%,35,"Balanced, Citrus, Fresh, Hoppy, Pine","Beef, Cheese - Blue, Cheese - Hard Aged, Chicken, Cured Meats, Root Vegetables, Salads & Greens",Pint Glass,45-50° F,65,14,Organic
Modelo Negra Amber Lager Mexican Beer,19.54,4.7,303,Amber / Vienna Lager,Mexico,,5.4%,16,"Biscuit, Bold, Caramel, Malty","Cheese - Hard Aged, Fruit - Dried","Pilsner Glass, Pint Glass",45-50° F,172,15.7,
White Claw Surf Variety Pack,21.29,4.4,11,Hard Seltzer,"Illinois, United States",Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,100,1,Gluten-Free
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
White Claw Natural Lime Hard Seltzer,11.82,4.7,25,Hard Seltzer,"Illinois, United States",,5%,,"Bright, Citrus, Flavored, Light","Fish - White, Shellfish",,,100,2,
Lone River Ranch Water Variety 12-Pack,19.99,4.7,12,Hard Seltzer,"Texas, United States","Craft, Variety Pack",4%,,,,Snifter/Goblet/Chalice,40-45° F,80,3,Gluten-Free
Allagash White,11.19,4.8,34,Witbier,"Maine, United States","Craft, Independent Craft Brewer",5.2%,13,"Yeasty, Citrus, Spicy, Fresh","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Snifter/Goblet/Chalice,45-50° F,,,
Victory Golden Monkey,2.59,4.7,43,Tripel,"Pennsylvania, United States",Craft,9.5%,25,"Fruity, Spicy, Yeasty, Floral","Turkey, Dessert - Fruit",Snifter/Goblet/Chalice,45-50° F,,,
Avery IPA,10.99,4.9,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,69,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Steel Reserve 211 High Gravity Lager Beer,2.39,4.7,30,Malt Liquor,"Wisconsin, United States",,8.1%,,,,Pint Glass,35-40° F,,,
Simply Spiked Lemonade Variety Pack,20.99,4.7,6,Hard Lemonade,"Illinois, United States",Variety Pack,5%,,"Blueberry, Citrus, Fruity, Tart",Beef,,,170,19,"Gluten-Free, Kosher"
Happy Dad Hard Seltzer Variety Pack,19.99,4.4,9,Hard Seltzer,United States,Variety Pack,5%,,"Fresh, Fruity",,Snifter/Goblet/Chalice,40-45° F,100,2,
Avery Brewing Hop Pack,20.99,,,Variety Pack Beer,"Colorado, United States","Craft, Seasonal, Variety Pack",6%,,,,,,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
Voodoo Ranger IPA,11.54,4.7,35,IPA,"Colorado, United States",Craft,7%,50,"Citrus, Floral, Hoppy, Stone Fruit","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Lamb, Mushrooms, Nuts, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,200,15,Kosher
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Shiner Bock,18.16,4.8,43,Bock,"Texas, United States",Craft,4.41%,13,"Caramel, Dark Fruit, Bready","Fruit - Dried, Duck & Game Bird","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",50-55° F,141,12.4,
Dogfish Head 90-Minute IPA,11.62,4.8,35,Imperial / Double IPA,"Delaware, United States",Craft,9%,90,"Malty, Bitter, Sweet","Fruit - Dried, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,,,
White Claw Watermelon Hard Seltzer,11.99,4.7,6,Hard Seltzer,Canada,,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Maine Beer Company Lunch IPA,8.5,4.9,22,IPA,"Maine, United States","Craft, Independent Craft Brewer",7%,62,"Balanced, Citrus, Hoppy, Malty, Pine","Cheese - Nutty & Semi-Firm, Beef","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Victory Brewing Sour Monkey,14.5,4.7,39,Sour / Wild Ale,"Pennsylvania, United States",Craft,9.5%,10,"Citrus, Sour",,"Snifter/Goblet/Chalice, Stange",45-50° F,,,
Narragansett Lager,7.99,4.7,34,American-Style Lager,"Rhode Island, United States","Craft, Independent Craft Brewer",5%,14,"Balanced, Crisp, Dry, Malty, Smooth","Beef, Chicken, Cured Meats, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Nuts, Pasta, Pork, Shellfish, Turkey",Pint Glass,35-40° F,148,,
Mike's Hard Lemonade Variety Pack,19.48,4.8,46,Hard Lemonade,"Illinois, United States",Variety Pack,5%,,,,"Pint Glass, Mason Jar",40-45° F,,,Gluten Reduced
Voodoo Ranger IPA,11.54,4.7,35,IPA,"Colorado, United States",Craft,7%,50,"Citrus, Floral, Hoppy, Stone Fruit","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Lamb, Mushrooms, Nuts, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,200,15,Kosher
Mighty Squirrel Cloud Candy IPA,15.99,4.8,26,New England / Hazy IPA,"Massachusetts, United States",Craft,6.5%,60,,,Snifter/Goblet/Chalice,45-50° F,,,
Mike's Hard Lemonade,18.49,4.7,36,Hard Lemonade,"Illinois, United States",,5%,,"Citrus, Flavored",Nuts,"Pint Glass, Mason Jar",40-45° F,,,Gluten Reduced
TRULY Hard Seltzer Citrus Variety Pack,19.98,4.7,43,Hard Seltzer,"Massachusetts, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Light, Sweet","Cheese - Fresh & Soft, Chicken, Fruit - Citrus, Salads & Greens",Pint Glass,40-45° F,100,2,"Gluten Reduced, Gluten-Free, Kosher"
Topo Chico Margarita Hard Seltzer Variety Pack,20.69,4.5,4,Hard Seltzer,United States,Variety Pack,4.5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Mike's Harder Lemonade,16.99,4.7,19,Hard Lemonade,"Illinois, United States",,8%,,"Acidic, Citrus, Flavored, Strong","Nuts, Shellfish",Snifter/Goblet/Chalice,40-45° F,,,Gluten Reduced
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Goose Island IPA,17.99,4.7,47,IPA,"Illinois, United States",Craft,4%,55,"Fruity, Hoppy, Malty","Beef, Cured Meats","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
